Tipo di attività,Data,Preferita,Titolo,Distanza,Calorie,Tempo,FC Media,FC max,TE aerobico,Cadenza di corsa media,Cadenza di corsa max,Passo medio,Passo migliore,Ascesa totale,Discesa totale,Lunghezza media passo,Rapporto verticale medio,Oscillazione verticale media,Tempo medio di contatto con il suolo,Bilanciamento TCS medio,Training Stress Score®,Passi,Temperatura min,Decompressione,Tempo Lap migliore,Numero di Lap,Temperatura max,Tempo in movimento,Tempo trascorso,Quota minima,Quota massima
Corsa,2026-01-01 16:44:48,false,"Latina - 6 km L","6.01","405","00:30:15","156","175","3.1","171","180","5:02","4:28","19","18","1.16","--","--","--","--","0.0","5,190","13.0","No","00:00:01.0","7","20.0","00:30:14","00:30:15","18","27"
Corsa,2025-12-29 19:00:32,false,"Latina - 6x[0.85L 0.15All","6.00","375","00:25:55","170","188","3.4","176","188","4:19","3:38","7","7","1.32","--","--","--","--","0.0","4,516","17.0","No","00:00:00.5","13","22.0","00:25:53","00:25:55","30","35"
Corsa,2025-12-27 10:15:02,false,"Latina - 50' L","5.33","368","00:30:02","150","164","2.7","158","180","5:38","4:12","12","13","1.11","--","--","--","--","0.0","4,800","18.0","No","00:00:02.1","13","23.0","00:30:00","00:30:02","26","33"
Corsa,2025-12-26 10:37:12,false,"Latina Corsa","8.01","552","00:39:54","160","175","3.5","173","229","4:59","4:29","14","12","1.16","--","--","--","--","0.0","6,888","21.0","No","00:00:01.7","9","24.0","00:39:53","00:39:54","27","36"
Corsa,2025-12-22 18:04:25,false,"Latina - 6x[0.85L 0.15All","6.00","362","00:26:31","160","179","3.2","176","189","4:25","3:31","4","4","1.29","--","--","--","--","0.0","4,636","21.0","No","00:00:01.2","13","26.0","00:26:28","00:26:31","29","35"
Corsa,2025-12-21 11:19:17,false,"Latina - 15 km L","15.00","1,069","01:13:00","168","181","4.7","177","186","4:52","4:22","44","37","1.16","8.1","9.6","248","49.6% S / 50.4% D","0.0","54","22.0","No","00:00:00.5","16","25.0","01:12:57","01:13:00","11","41"
Corsa,2025-12-19 18:41:34,false,"Latina - 6 km L","6.01","399","00:28:48","157","170","3.1","174","188","4:48","4:07","8","5","1.20","--","--","--","--","0.0","5,004","18.0","No","00:00:01.9","7","26.0","00:28:44","00:28:48","21","27"
Corsa,2025-12-14 09:33:20,false,"Normissima","9.15","684","00:44:02","175","189","4.2","174","208","4:49","3:34","215","218","1.19","--","--","--","--","0.0","7,736","18.0","No","00:00:38.7","10","23.0","00:43:57","00:44:02","385","494"
Corsa,2025-12-13 10:19:04,false,"Latina - 13 km L","13.00","918","01:02:56","163","178","4.1","177","187","4:50","4:20","42","40","1.17","--","--","--","--","0.0","11,122","18.0","No","00:00:01.4","14","25.0","01:02:37","01:03:56","-2","24"
Corsa,2025-12-12 17:41:30,false,"Latina - 3x(1km L + 1km M","9.01","608","00:39:27","169","187","3.9","180","192","4:23","3:42","15","14","1.27","7.3","9.6","244","49.7% S / 50.3% D","0.0","7,008","16.0","No","00:00:01.5","10","23.0","00:39:22","00:39:27","23","36"
Corsa,2025-12-10 18:47:40,false,"Latina - 4×1600m TR rec","7.68","456","00:31:52","165","182","3.4","177","187","4:09","3:29","19","22","1.35","7.1","9.6","255","50.0% S / 50.0% D","0.0","5,546","16.0","No","00:00:00.6","13","18.0","00:31:49","00:31:52","17","26"
Corsa,2025-12-08 10:11:42,false,"Latina - 9x[0.85L 0.15All","9.02","598","00:42:28","162","179","3.6","176","190","4:43","3:38","25","27","1.20","7.7","9.4","252","49.2% S / 50.8% D","0.0","7,388","20.0","No","00:00:03.5","19","23.0","00:42:24","00:42:28","1","24"
Corsa,2025-12-07 09:02:57,false,"Latina Corsa","9.73","606","00:39:39","176","185","4.1","186","194","4:04","3:50","5","7","1.32","6.5","8.8","232","49.4% S / 50.6% D","0.0","7,298","15.0","No","00:02:54.7","10","20.0","00:39:38","00:39:39","16","21"
Corsa,2025-12-06 11:38:50,false,"Latina - 30' L","5.45","367","00:27:36","152","166","3.0","173","178","5:04","4:38","12","8","1.14","--","--","--","--","0.0","4,748","20.0","No","00:02:16.2","6","24.0","00:27:35","00:27:36","18","28"
Corsa,2025-12-05 19:30:32,false,"Latina - 4L 2M","6.01","400","00:27:54","163","179","3.2","176","183","4:39","4:15","8","6","1.21","7.6","9.5","254","49.2% S / 50.8% D","0.0","4,866","16.0","No","00:00:01.2","7","24.0","00:27:49","00:27:54","31","37"
